;0;1;2;3;4;5;6;7;8;9;;;;;;;;;;
70;37812;0,025203639;0,012139003;0,013487782;0,02692267;0,197027399;0,72519306;2.64e-05;0;0;;;;;;;;;;
71;38288;0,024655244;0,011883619;0,012902215;0,027058086;0,205651901;0,717848934;0;0;0;;;;;;;;;;
72;38771;0,024064378;0,011709783;0,013412086;0,026953135;0,211498285;0,7121302;0,000232132;0;0;;;;;;;;;;
73;39278;0,024135648;0,011533174;0,013137125;0,026579765;0,214674882;0,709633892;0,000305515;0;0;;;;;;;;;;
74;39801;0,024647622;0,011331374;0,013190623;0,026104872;0,215597598;0,708273661;0,00085425;0;0;;;;;;;;;;
75;40295;0,024494354;0,011291724;0,01288001;0,025983373;0,217793771;0,706985978;0,00057079;0;0;;;;;;;;;;
76;40757;0,02370145;0,011016513;0,013151115;0,025541625;0,221385284;0,705154943;4.91e-05;0;0;;;;;;;;;;
77;41253;0,023513441;0,011199186;0,012217293;0,025379972;0,224056432;0,703633675;0;0;0;;;;;;;;;;
78;41724;0,023080242;0,011216566;0,012678554;0,024949669;0,234828875;0,693246093;0;0;0;;;;;;;;;;
79;42174;0,022098924;0,010598947;0,012875231;0,025181391;0,240195381;0,689050126;0;0;0;;;;;;;;;;
80;42748;0,023158978;0,01118181;0,012351455;0,024445588;0,23937962;0,689482549;0;0;0;;;;;;;;;;
81;43239;0,022595342;0,010546035;0,012743125;0,024838687;0,242211892;0,686995536;6.94e-05;0;0;;;;;;;;;;
82;43729;0,022365021;0,010679412;0,012257312;0,024583229;0,247021427;0,682979259;0,000114341;0;0;;;;;;;;;;
83;44197;0,021856687;0,011064099;0,011607123;0,025295835;0,254406408;0,675566215;0,000203634;0;0;;;;;;;;;;
84;44666;0,021537635;0,010388215;0,012313617;0,025030224;0,263108405;0,667398021;0,000223884;0;0;;;;;;;;;;
85;45239;0,022723756;0,010632419;0,011848184;0,024138465;0,257720109;0,671876036;0,001061031;0;0;;;;;;;;;;
86;45656;0,020851586;0,010119152;0,01257228;0,024575083;0,263492203;0,667250745;0,001138952;0;0;;;;;;;;;;
87;46179;0,02163321;0,010242751;0,012105069;0,024599926;0,26418935;0,666601702;0,000627991;0;0;;;;;;;;;;
88;46651;0,020621209;0,01048209;0,012454181;0,024758312;0,26874022;0,662472401;0,000471587;0;0;;;;;;;;;;
89;47136;0,020748473;0,01022573;0,011944162;0,025224881;0,274397488;0,656547013;0,000912254;0;0;;;;;;;;;;
90;47612;0,020835084;0,01054356;0,0121608;0,024468621;0,282197765;0,649248089;0,000546081;0;0;;;;;;;;;;
91;48094;0,020563896;0,009876492;0,011893375;0,025491745;0,286189545;0,644300744;0,001684202;0;0;;;;;;;;;;
92;48644;0,021297591;0,010504893;0,011820574;0,024607351;0,285523394;0,643614834;0,002631363;0;0;;;;;;;;;;
