;FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9;FLIR: rango 10;FLIR: area m2
66;66;55075;0,9062914209999999;0,005156605;0.000980481;0.001089424;0.001125738;0.002759873;0.01759419;0.028143441;0.033790286;0.003068543;0,05398980492108617
67;67;50477;0,896645997;0,005626325;0.000931117;0.001446203;0.000970739;0.003367871;0.020127979;0.031024031;0.036828655;0.003031083;0,04948240368591315
68;68;53824;0,901939655;0,0051278240000000004;0.001300535;0.000984691;0.001040428;0.003288496;0.019155024;0.029392093;0.035077289;0.002693966;0,05276345456327811
69;69;52179;0,8978324609999999;0,005212825;0.001092393;0.001648173;0.000632438;0.003526323;0.021042948;0.030184557;0.03702639;0.001801491;0,051150867562003724
70;70;51856;0,895884758;0,005534557;0.001002777;0.001446313;0.001253471;0.00337473;0.021829682;0.030565412;0.038028386;0.001079914;0,05083423193804529
71;71;57923;0,905616077;0,005162025;0.000949536;0.001208501;0.000794158;0.003401067;0.019923001;0.027640143;0.034545863;0.000759629;0,05678168806979708
72;72;68075;0,917135512;0,004289387;0.000793243;0.001219243;0.000705105;0.002893867;0.018024238;0.024149835;0.030128535;0.000661036;0,06673365356337614
73;73;78788;0,927374727;0,003934609;0.000672691;0.000951922;0.00088846;0.002424227;0.015662284;0.021018429;0.026488805;0.000583845;0,07723556514067248
74;74;51133;0,887176579;0,005769268;0.001192967;0.001173411;0.001349422;0.004322062;0.025873702;0.032875051;0.040032855;0.000234682;0,05012547789432409
75;75;61379;0,905048958;0,004561821;0.001156747;0.001124163;0.00087978;0.003584288;0.021717526;0.027533847;0.034115903;0.000276968;0,0601695912165474
76;76;57588;0,89758283;0,00481003;0.001163437;0.001319719;0.001076613;0.004011252;0.023633396;0.029832604;0.036274918;0.0002952;0,05645328889324576
77;77;56348;0,894210975;0,004986867;0.001082558;0.001437496;0.000940584;0.004028537;0.02496983;0.031145737;0.037019947;0.000177469;0,05523772179198118
