;0;1;2;3;4;5;6;7;8;9;10
25;18341;0,200752413;0,010086691;0,007469604;0,004797994;0,005670356;0,007360558;0,036039474;0,126438035;0,456463661;0,144921215
26;19957;0,239063988;0,010322193;0,006012928;0,004509696;0,005411635;0,007415944;0,035225735;0,121310818;0,431527785;0,139199278
27;20221;0,224370704;0,008654369;0,007566391;0,003857376;0,005439889;0,007714752;0,03773305;0,126155976;0,440087038;0,138420454
28;20407;0,205664723;0,010045573;0,006419366;0,003969226;0,006419366;0,007203411;0,040133288;0,131131474;0,45175675;0,137256824
29;20707;0,192205534;0,009513691;0,006229777;0,004636113;0,00627807;0,00729222;0,040759164;0,137344859;0,464094268;0,131646303
30;21221;0,18637199;0,009990104;0,006267377;0,004429574;0,00617313;0,007021347;0,042834928;0,142264738;0,468498186;0,126148626
31;22007;0,192347889;0,009815059;0,005498251;0,003998728;0,006952333;0,006952333;0,042986323;0,14581724;0,463897851;0,121733994
32;22488;0,185610103;0,009738527;0,00653682;0,003735326;0,006092138;0,008048737;0,044112416;0,148657062;0,468872287;0,118596585
33;22880;0,176835664;0,009047203;0,006774476;0,004195804;0,005638112;0,007910839;0,046765734;0,154152098;0,476923077;0,111756993
34;23996;0,19265711;0,009293216;0,006542757;0,003292215;0,006251042;0,007584597;0,045299217;0,152733789;0,47207868;0,104267378
35;25487;0,219680621;0,008592616;0,006434653;0,003491976;0,005453761;0,007219367;0,044375564;0,144505042;0,467297053;0,092949347
36;26256;0,222768129;0,007883912;0,006817489;0,003427788;0,005522547;0,007503047;0,044637416;0,151013102;0,479090494;0,071336076
37;27135;0,227786991;0,008328727;0,005859591;0,003832688;0,005306799;0,007186291;0,045807997;0,158282661;0,486530311;0,051077944
38;26764;0,197952473;0,008294724;0,006351816;0,00392318;0,004707816;0,008780451;0,047264983;0,17295621;0,501083545;0,0486848
39;27596;0,203978838;0,008624438;0,005363096;0,003949848;0,005797942;0,007138716;0,049137556;0,17509784;0,508841861;0,032069865
40;28500;0,211263158;0,008035088;0,005754386;0,004175439;0,005508772;0,00754386;0,050596491;0,178877193;0,510561404;0,017684211
41;28793;0,201680964;0,008092245;0,005522176;0,003507797;0,005973674;0,007710207;0,053589414;0,185149168;0,520473726;0,008300629
42;29300;0,198259386;0,007372014;0,005836177;0,004334471;0,005187713;0,007576792;0,05552901;0,19331058;0,517098976;0,005494881
43;29641;0,189163658;0,008063156;0,006038933;0,004048446;0,005330454;0,007793259;0,058601262;0,194325428;0,521743531;0,004891873
44;30515;0,195543175;0,008192692;0,005833197;0,003440931;0,005472718;0,008159921;0,060036048;0,19659184;0,516074062;0,000655415
45;30899;0,189391242;0,00747597;0,005437069;0,003948348;0,005760704;0,007864332;0,062299751;0,198647205;0,518139746;0,001035632
46;31043;0,176174983;0,007795638;0,005798409;0,004509873;0,004993074;0,008182199;0,065940792;0,203169797;0,517991174;0,005444061
47;31719;0,177969041;0,00819698;0,005643305;0,003373372;0,005769413;0,008323087;0,06765661;0,205302815;0,508023582;0,009741795
48;32354;0,178741423;0,008221549;0,005254373;0,003585337;0,005903443;0,008592446;0,068245039;0,208289547;0,501081783;0,012085059
49;32814;0,174925337;0,007649174;0,005576888;0,003961724;0,00527214;0,008746267;0,06911684;0,212165539;0,498781008;0,013805083
50;34103;0,190335161;0,007682609;0,005630003;0,003606721;0,00510219;0,00929537;0,068381081;0,211271736;0,482156995;0,016538134
51;33550;0,162354694;0,00804769;0,005007452;0,003606557;0,006348733;0,008673621;0,07314456;0,225424739;0,488971684;0,018420268
52;35949;0,204456313;0,007009931;0,005396534;0,003282428;0,005813792;0,008122618;0,069236975;0,216000445;0,459150463;0,021530502
53;34683;0,160943402;0,007265807;0,005507021;0,004065392;0,005218695;0,00954358;0,07608915;0,233284318;0,474555258;0,023527377
