,0,1,2,3,4,5,6,7,8,9
110,103352,0.009849833578450344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,103621,0.009949720616477356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,103829,0.009910525960955032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,104086,0.01002055992160329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,104284,0.009953588278163476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,104563,0.010213938008664632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,104722,0.01008384102671836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,104933,0.01003497469814072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,105170,0.01039269753732053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,105337,0.010157874251212774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,105512,0.010131549018121161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,105731,0.010337554737967105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,105897,0.010236361747736008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,106057,0.01028692118389168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,106278,0.010265530025028698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,106456,0.01037987525362591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,106669,0.010574768676935192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,106806,0.010270958560380503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,107008,0.01074686004784689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,107092,0.010383595413289507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,107292,0.010699772583230809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,107436,0.010564429055437656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
