tf;av;max
461,766;50,0;51,3
462,766;50,2;51,4
463,766;50,2;51,5
464,766;50,0;51,5
465,766;50,0;51,6
466,766;50,2;51,7
467,766;50,1;51,6
468,766;50,5;71,5
470,933;50,0;51,4
471,933;49,5;51,5
472,933;49,7;51,3
473,933;49,7;51,2
474,933;49,8;51,2
475,933;49,9;51,3
476,933;49,9;51,0
477,933;49,7;51,0
478,933;49,6;50,9
479,933;49,4;50,9
480,933;49,7;51,0
481,933;49,9;51,1
482,933;50,0;51,1
483,933;50,0;51,1
484,933;49,9;51,2
485,933;50,0;51,3
486,933;49,7;51,4
487,933;49,8;51,0
488,933;50,0;51,2
489,933;50,0;51,2
490,933;49,5;51,0
491,933;49,7;51,2
492,933;49,8;51,3
493,933;49,9;51,2
494,933;49,8;51,3
495,933;49,9;51,3
496,933;49,8;51,3
497,933;49,8;51,4
498,933;49,8;51,5
499,933;49,7;51,5
500,933;49,7;51,5
501,933;49,7;51,5
502,933;49,7;51,6
503,933;49,8;51,7
504,933;49,7;51,7
505,933;49,7;51,7
506,933;49,7;51,6
507,933;49,8;51,7
508,933;49,8;51,8
509,933;49,7;51,8
510,933;49,8;51,8
511,933;49,8;51,7
512,933;49,8;51,7
513,933;49,8;51,8
514,933;49,7;51,7
515,933;49,6;51,6
516,933;49,5;51,5
517,933;49,5;51,5
518,933;49,5;51,4
519,933;49,7;51,5
520,933;49,8;51,6
521,933;49,8;51,7
522,933;49,8;52,8
523,933;49,7;52,7
524,933;49,8;52,7
525,933;49,8;52,5
526,933;49,9;52,4
527,933;49,9;52,2
528,933;49,9;52,2
529,933;49,8;51,9
530,933;49,7;51,9
531,933;49,6;51,9
532,933;49,7;51,8
533,933;49,8;51,8
534,933;49,8;51,8
535,933;49,8;51,8
536,933;49,8;51,8
537,933;49,8;52,0
538,933;49,8;52,0
539,933;49,8;52,2
540,933;49,8;52,5
541,933;49,5;52,3
542,933;49,4;52,2
543,933;49,5;52,1
544,933;49,6;52,1
545,933;49,7;52,1
546,933;49,7;52,0
547,933;49,7;51,9
548,933;49,6;51,8
549,933;49,6;51,8
550,933;49,7;51,7
551,933;49,7;51,7
552,933;49,7;51,6
553,933;49,7;51,6
554,933;49,7;51,5
555,933;49,7;51,5
556,933;49,7;51,5
557,933;49,7;51,5
558,933;49,6;51,3
559,933;49,7;51,3
560,933;49,7;51,4
561,933;49,8;51,2
562,933;49,8;51,2
563,933;49,7;51,2
564,933;49,7;51,2
565,933;49,7;51,2
566,933;49,7;51,1
567,933;49,7;51,1
568,933;49,6;51,2
569,933;49,5;51,1
570,933;49,4;51,1
574,399;49,2;51,0
575,399;49,2;50,9
576,399;49,2;51,0
577,399;49,1;51,0
578,399;49,1;51,0
579,399;49,2;51,0
580,399;49,2;51,1
581,399;49,2;50,9
582,399;49,1;50,9
583,399;48,9;50,9
584,399;48,9;50,9
585,399;48,8;51,0
586,399;48,8;50,9
587,399;48,7;50,8
588,399;48,7;50,9
589,399;48,7;50,9
590,399;48,7;50,9
591,399;48,6;50,8
592,399;48,5;50,8
593,399;48,4;50,8
594,399;48,4;50,8
595,399;48,3;51,0
596,399;48,2;51,1
597,399;48,1;51,0
598,399;48,1;51,1
599,399;48,0;51,0
600,399;48,1;50,8
601,399;48,0;50,7
602,399;48,0;50,6
603,399;48,0;50,6
604,399;48,0;50,6
605,399;48,0;50,6
606,399;48,1;50,6
607,399;48,1;50,6
608,399;48,2;52,5
609,399;48,2;52,5
610,399;48,2;52,4
611,399;48,4;52,4
612,399;48,3;52,3
613,399;48,2;52,2
614,399;48,1;52,2
615,399;48,2;52,1
616,399;48,3;52,0
617,399;48,4;51,9
618,399;48,5;51,8
619,399;48,5;51,7
620,399;48,5;51,6
621,399;48,5;51,6
622,399;48,5;51,5
623,399;48,4;51,4
624,399;48,4;51,2
625,399;48,5;51,1
626,399;48,5;51,8
627,399;48,5;52,3
628,399;48,6;52,5
629,399;48,6;52,6
630,399;48,6;52,6
631,399;48,6;52,6
632,399;48,7;52,5
633,399;48,7;52,5
634,399;48,7;52,4
635,399;48,7;52,3
636,399;48,6;52,2
637,399;48,5;52,2
638,399;48,4;52,1
639,399;48,3;52,1
640,399;48,3;52,0
641,399;48,5;51,9
642,399;48,5;51,8
643,399;48,5;51,7
644,399;48,5;51,5
645,399;48,5;52,1
646,399;48,5;51,9
647,399;48,5;51,7
648,399;48,5;51,6
649,399;48,6;51,5
650,399;48,6;51,3
651,399;48,6;51,3
652,399;48,6;51,2
653,399;48,6;51,2
654,399;48,6;51,1
655,399;48,6;51,0
656,399;48,7;50,9
657,399;48,7;50,9
658,399;48,7;50,8
659,399;48,7;50,7
660,399;48,7;50,6
661,399;48,6;50,6
662,399;48,6;50,5
663,399;48,5;50,4
664,399;48,5;50,4
665,399;48,4;50,7
666,399;48,5;50,9
667,399;48,4;50,9
668,399;48,4;50,7
669,399;48,4;51,4
670,399;48,4;51,2
671,399;48,4;51,1
672,399;48,4;51,0
673,399;48,5;50,9
674,399;48,5;50,7
675,399;48,4;50,6
676,399;48,3;50,6
677,399;48,3;50,5
678,399;48,4;50,4
679,399;48,4;50,3
680,399;48,4;50,2
681,399;48,4;50,5
682,399;48,5;50,8
683,399;48,4;51,1
684,399;48,5;51,3
685,399;48,4;51,3
686,399;48,4;51,3
687,399;48,4;51,3
688,399;48,5;51,2
689,399;48,5;51,1
690,399;48,5;51,0
691,399;48,5;51,0
692,399;48,5;50,9
693,399;48,4;50,8
694,399;48,3;50,7
695,399;48,3;50,6
696,399;48,2;50,6
697,399;48,1;50,5
698,399;48,1;50,5
699,399;48,1;50,5
700,399;48,1;50,6
701,399;48,1;50,5
702,399;48,1;50,5
703,399;48,1;50,5
704,399;48,1;50,5
705,399;51,8;72,5
707,699;48,0;50,5
708,699;48,0;50,5
709,699;47,8;50,4
710,699;47,8;50,4
711,699;47,7;50,4
712,699;47,8;50,4
713,699;47,9;50,4
714,699;47,9;50,4
715,699;47,9;50,4
716,699;47,8;50,4
717,699;47,9;50,5
718,699;47,8;50,4
719,699;47,5;50,4
720,699;47,2;50,2
721,699;47,2;50,2
722,699;47,3;50,2
723,699;47,3;50,2
724,699;47,4;50,1
725,699;47,5;50,2
726,699;47,5;50,2
727,699;47,6;50,2
728,699;47,6;50,2
729,699;47,7;50,2
730,699;47,7;50,2
731,699;47,8;50,2
732,699;47,8;50,2
733,699;47,9;50,2
734,699;47,9;50,2
735,699;48,0;50,2
736,699;48,1;50,2
737,699;48,1;50,2
738,699;48,2;50,1
739,699;48,3;50,3
740,699;48,3;50,3
741,699;48,4;50,2
742,699;48,4;50,2
743,699;48,5;50,3
744,699;48,6;50,2
745,699;48,5;50,2
746,699;48,5;50,1
747,699;48,5;50,1
748,699;48,5;50,2
749,699;48,6;50,1
750,699;48,6;50,1
751,699;48,4;50,1
752,699;48,4;50,1
753,699;48,5;50,2
754,699;48,6;50,3
755,699;48,6;50,3
756,699;48,6;50,2
757,699;48,5;50,2
758,699;48,5;50,2
759,699;48,6;50,2
760,699;48,5;50,2
761,699;48,5;50,2
762,699;48,4;50,1
763,699;48,4;50,1
764,699;48,4;50,0
765,699;48,4;50,1
766,699;48,4;50,1
767,699;48,4;50,1
768,699;48,3;50,0
769,699;48,0;50,0
770,699;47,7;49,8
771,699;48,0;49,6
772,699;48,1;49,8
773,699;48,0;49,8
774,699;48,1;49,7
775,699;48,2;49,8
776,699;48,2;49,7
777,699;48,2;49,7
778,699;48,2;49,6
779,699;48,2;49,6
780,699;48,3;49,6
781,699;48,3;49,7
782,699;48,3;49,7
783,699;48,2;49,7
784,699;48,2;49,7
785,699;48,2;49,7
786,699;48,1;49,6
787,699;48,2;49,6
788,699;48,2;49,6
789,699;48,2;49,6
790,699;48,2;49,8
791,699;48,3;49,8
792,699;48,2;49,8
793,699;48,2;49,9
794,699;48,1;49,8
795,699;48,0;49,9
796,699;47,8;49,8
797,699;47,6;49,6
798,699;47,6;49,6
799,699;47,5;49,7
800,699;47,5;49,7
801,699;47,7;49,8
802,699;47,9;49,9
803,699;47,9;49,9
804,699;48,0;50,0
805,699;47,9;50,1
806,699;47,8;50,1
