FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
102;33899;0,050001475;0,01171126;0,005280392;0,007935337;0,015870675;0,768518245;0,140682616;0;0
103;34198;0,050558512;0,011901281;0,005409673;0,007748991;0,015614948;0,766272881;0,142493713;0;0
104;34411;0,049286565;0,011885734;0,005085583;0,008078812;0,016390108;0,767225596;0,142047601;0;0
105;34741;0,051006016;0,011830402;0,004922138;0,008059641;0,016176852;0,762816269;0,145188682;0;0
106;34993;0,050410082;0,011773783;0,005543966;0,007830137;0,016460435;0,760666419;0,147315177;0;0
107;35259;0,049887972;0,012138745;0,005275249;0,007742704;0,016960209;0,759408945;0,148586177;0;0
108;35541;0,049998593;0,011817338;0,005767986;0,007624996;0,01713514;0,756703526;0,150952421;0;0
109;35809;0,050573878;0,011310006;0,005557262;0,008042671;0,016839342;0,754140021;0,15353682;0;0
110;36037;0,04972667;0,011488193;0,005161362;0,00821378;0,01720454;0,755334795;0,152870661;0;0
111;36395;0,051627971;0,011704905;0,005412831;0,008380272;0,016870449;0,749196318;0,156807254;0;0
112;36580;0,050027337;0,011481684;0,005412794;0,008392564;0,017741935;0,753991252;0,152952433;0;0
113;36781;0,048367364;0,011282999;0,005464778;0,008156385;0,018759686;0,75938664;0,148582148;0;0
114;37054;0,0482539;0,011874561;0,004965726;0,008636045;0,018918335;0,762238895;0,145112538;0;0
115;37271;0,047329023;0,01153712;0,005285611;0,008451611;0,01939846;0,771001583;0,136996593;0;0
116;37635;0,049501794;0,011452106;0,005606483;0,007838448;0,019317125;0,768619636;0,137664408;0;0
117;37902;0,049680756;0,011239512;0,005540605;0,00791515;0,020315551;0,766951612;0,138356815;0;0
118;38145;0,049259405;0,011351422;0,005321798;0,00796959;0,020841526;0,77276183;0,132494429;0;0
119;38343;0,047570613;0,011318885;0,005242156;0,008345722;0,021125108;0,782933;0,123464518;0;0
120;38631;0,048096089;0,011156843;0,005254847;0,00849059;0,021744195;0,784784241;0,120473195;0;0
121;38940;0,049178223;0,010785824;0,00529019;0,008038007;0,022701592;0,778916281;0,125089882;0;0
122;39243;0,050149071;0,010702546;0,005402237;0,007899498;0,022118594;0,77557781;0,128150243;0;0
123;39297;0,04519429;0,010738733;0,005165789;0,008448482;0,023894954;0,785836069;0,120721684;0;0
124;39621;0,046288584;0,011054744;0,004946872;0,008278438;0,023699553;0,783044345;0,122687464;0;0
125;39875;0,046068966;0,010934169;0,005115987;0,008451411;0,024100313;0,782294671;0,123034483;0;0
126;40222;0,04761076;0,010839839;0,005221023;0,008279051;0,024265327;0,782954602;0,120829397;0;0
127;40415;0,045997773;0,010664357;0,005295064;0,008387975;0,025460844;0,780576519;0,123617469;0;0
128;40645;0,045122401;0,010973059;0,00519129;0,00819289;0,026669947;0,77871817;0,125132243;0;0
129;41024;0,047630655;0,010603549;0,005728354;0,008044072;0,025814158;0,7768867;0,125292512;0;0
130;41228;0,046351994;0,010502571;0,004996604;0,008974483;0,026317066;0,780561754;0,122295527;0;0
131;41532;0,046975826;0,011436964;0,004815564;0,008355003;0,027039391;0,77992873;0,121448522;0;0
132;41689;0,044760009;0,01041042;0,005109261;0,008923217;0,027849073;0,787353978;0,115594042;0;0
133;41900;0,043961814;0,010190931;0,004653938;0,009379475;0,02902148;0,78928401;0,113508353;0;0
134;42264;0,04531043;0,011309862;0,004921446;0,008162976;0,029410373;0,786106379;0,114778535;0;0
135;42988;0,045663906;0,010979808;0,00483856;0,00897925;0,029892063;0,788824788;0,110821625;0;0
136;43480;0,050459982;0,010671573;0,005427783;0,00825667;0,028932843;0,775919963;0,120331187;0;0
137;43473;0,04487843;0,01058128;0,004830585;0,009408138;0,030547696;0,781220528;0,118533343;0;0
138;43834;0,046425149;0,011041657;0,004790802;0,00880595;0,030638317;0,777273349;0,120294748;0,000730027;0
139;44048;0,0452915;0,01023883;0,005539412;0,00842263;0,032305667;0,783531602;0,114534145;0,000136215;0
140;44293;0,0450184;0,010204773;0,005283002;0,009053349;0,032239857;0,787099542;0,111101077;0;0
141;44430;0,042358767;0,010398379;0,005221697;0,008417736;0,034076075;0,791604772;0,107922575;0;0
142;44764;0,043986239;0,010253775;0,005383791;0,008824055;0,033240997;0,792355464;0,105955679;0;0
143;45122;0,045964275;0,010194584;0,004809184;0,009219449;0,033509153;0,785692124;0,110611232;0;0
144;45295;0,043404349;0,010817971;0,004967436;0,009029694;0,034661662;0,795672812;0,101446076;0;0
145;45512;0,042757954;0,010480752;0,005075584;0,009250308;0,036298119;0,80317279;0,092854632;0,000109861;0
146;45851;0,044840898;0,010032497;0,004994439;0,009094676;0,03585527;0,807725022;0,087457198;0;0
147;46165;0,045662298;0,010679086;0,004917145;0,009011156;0,034961551;0,808036391;0,086732373;0;0
148;46363;0,044626103;0,010137394;0,005284386;0,009123655;0,036084809;0,810020922;0,084722731;0;0
149;46635;0,044666023;0,010335585;0,005253565;0,009156213;0,036603409;0,813380508;0,080604696;0;0
150;46874;0,044096941;0,010709562;0,004565431;0,00951487;0,037803473;0,815782737;0,077526987;0;0
151;47157;0,04495621;0,010263588;0,005046971;0,009182094;0,038594482;0,808957313;0,082999343;0;0
152;47139;0,039797196;0,009906871;0,005473175;0,009567449;0,042788349;0,8176669;0,074800059;0;0
153;47418;0,040575309;0,009764225;0,005103547;0,010059471;0,044033911;0,814163398;0,076300139;0;0
