tf;sp1;sp2;sp3;sp4;tc;cp1;cp2;cp3;cp4
41,033;49;24,3;24;23,9;41;33,3;26,1;25,9;26,5
42,033;48,9;24,2;24;23,9;42;33,2;26,1;25,9;26,5
43,033;48,9;24,3;24;23,9;43;33,2;26,1;25,9;26,6
44,033;48,8;24,3;24,1;23,8;44;33,2;26,1;25,9;26,5
45,033;48,9;24,2;24;23,8;45;33,2;26;25,9;26,5
46,033;48,8;24,3;24,1;23,8;46;33,2;26,1;25,9;26,5
47,033;48,8;24,3;24;23,8;47;33,1;26,1;25,9;26,5
48,033;48,8;24,2;24;23,8;48;33,2;26,1;25,9;26,5
49,033;48,8;24,3;24;23,9;49;33,2;26,1;25,9;26,5
50,033;48,9;24,4;24,1;23,9;50;33,1;26,1;25,9;26,5
51,033;48,8;24,3;24;23,8;51;33,1;26;25,9;26,5
52,033;48,8;24,3;24;23,8;52;33,1;26,1;25,9;26,5
53,033;48,8;24,4;24,1;23,8;53;33,1;26;25,9;26,5
54,033;48,9;24,4;24,1;23,8;54;33,1;26,1;25,9;26,5
55,033;48,9;24,5;24,1;23,8;55;33,1;26,1;25,9;26,5
56,033;48,8;24,4;24,1;23,8;56;33,1;26,1;25,9;26,5
57,033;48,9;24,4;24;23,8;57;33,1;26,1;25,9;26,5
58,033;48,9;24,5;24;23,8;58;33,1;26,1;25,9;26,5
59,033;49;24,5;24;23,8;59;33,1;26,1;25,9;26,5
60,033;48,9;24,6;24;23,8;60;33,1;26;25,9;26,5
61,033;49;24,6;24,1;23,8;61;33,1;26,2;25,9;26,5
62,033;48,8;24,7;24;23,8;62;33,1;26,1;25,9;26,5
63,033;48,9;24,8;24;23,8;63;33,2;26,1;25,9;26,5
64,033;48,9;25,1;24;23,8;64;33,2;26,2;25,9;26,5
65,033;48,8;25,4;24;23,8;65;33,2;26,2;25,9;26,5
66,033;48,8;26,5;24;23,8;66;33,2;26,5;26;26,5
67,033;48,9;28,1;24;23,8;67;33,7;26,9;26,1;27
68,033;48,7;38;24,2;23,9;68;34,1;30,6;26,9;27,4
69,033;48,6;40,9;24,1;23,9;69;34,6;31,9;27,2;27,7
70,033;48,1;41,4;24,2;23,9;70;34,8;33,1;27,5;28,2
71,033;47,7;41,7;24,2;23,9;71;35,1;34,7;27,7;28,5
72,033;47,4;42,4;24,2;23,8;72;35,3;35,3;28;28,6
73,033;47,5;42,5;24,1;23,8;73;35,5;35,9;28,1;28,8
74,033;47,4;42,6;24,1;23,9;74;35,7;36,3;28,2;28,9
75,033;47,4;42,9;24,2;23,8;75;35,8;36,9;28,4;29
76,033;47,3;43,3;24,2;23,9;76;35,8;37,1;28,5;29,1
77,033;46,9;43,4;24,2;23,8;77;36;37,3;28,5;29,2
78,033;46,9;43,5;24,2;23,8;78;36;37,5;28,5;29,2
79,033;46,8;43,7;24,2;23,9;79;36,1;37,5;28,5;29,2
80,033;46,6;43,9;24,3;23,9;80;36,2;37,5;28,5;29,2
81,033;46,5;43,8;24,2;23,9;81;36,2;37,6;28,6;29,3
82,033;46,5;43,8;24,2;23,8;82;36,2;37,7;28,6;29,3
83,033;46,5;43,9;24,2;23,8;83;36,3;37,6;28,6;29,3
84,033;46,4;44,1;24,2;23,9;84;36,4;37,7;28,6;29,3
85,033;46,3;44,1;24,3;23,9;85;36,3;37,6;28,6;29,3
86,033;46,3;44,3;24,2;23,9;86;36,3;37,6;28,6;29,3
87,033;46,3;44,4;24,2;23,9;87;36,5;37,5;28,6;29,3
88,033;46,2;44,4;24,2;23,8;88;36,5;37,5;28,6;29,3
89,033;46;44,5;24,2;23,9;89;36,5;37,5;28,6;29,3
90,033;46,2;44,7;24,2;23,9;90;36,5;37,5;28,5;29,3
91,033;46;44,6;24,2;23,8;91;36,5;37,4;28,5;29,3
92,033;46,2;44,6;24,2;23,9;92;36,5;37,4;28,6;29,3
93,033;46,1;44,6;24,2;23,8;93;36,5;37,3;28,6;29,3
94,033;46,1;44,5;24,2;23,9;94;36,6;37,3;28,6;29,3
95,033;46;44,5;24,2;23,9;95;36,7;37,3;28,5;29,3
96,033;45,9;44,7;24,1;23,8;96;36,6;37,2;28,6;29,3
97,033;45,7;44,7;24,1;23,8;97;36,6;37,2;28,6;29,3
98,033;45,7;44,8;24,2;23,9;98;36,6;37,2;28,6;29,3
99,033;45,8;44,8;24,2;23,8;99;36,7;37,1;28,5;29,3
100,033;45,9;44,8;24,1;23,8;100;36,7;37,1;28,5;29,3
101,033;45,9;44,9;24,1;23,8;101;36,8;37,1;28,5;29,3
102,033;45,9;45;24,1;23,8;102;36,8;37,1;28,5;29,3
103,033;46;45,1;24,1;23,8;103;36,8;37;28,5;29,3
104,033;46,2;45,1;24,1;23,8;104;36,8;37;28,5;29,3
105,033;46,3;45,1;24,1;23,8;105;36,9;37;28,5;29,3
106,033;46,3;45,1;24;23,8;106;36,9;36,9;28,5;29,3
107,033;46,2;45,1;24,1;23,8;107;36,8;37;28,5;29,3
108,033;46,3;45,1;24,1;23,8;108;36,9;36,9;28,5;29,3
109,033;46,3;45,2;24,1;23,8;109;36,9;36,9;28,5;29,3
110,033;46;45,2;24,1;23,9;110;37;36,9;28,5;29,3
113,367;46,3;45,3;24,2;24,1;111;36,9;36,9;28,5;29,3
114,367;46,4;45,3;24,2;24,1;112;36,9;36,8;28,5;29,3
115,367;46,5;45,2;24,2;24;113;37;36,8;28,5;29,3
116,367;46,5;45,2;24,2;24,1;114;37;36,8;28,5;29,3
117,367;46,6;45,2;24,2;24,1;115;37;36,8;28,5;29,3
118,367;46,9;45,2;24,3;24,1;116;37;36,8;28,5;29,3
119,367;46,8;45,3;24,2;24,1;117;37;36,7;28,6;29,3
120,367;46,9;45,3;24,2;24,1;118;37;36,7;28,5;29,3
121,367;46,5;45,2;24,2;24,1;119;37;36,7;28,5;29,3
122,367;46,6;45,1;24,2;24,1;120;37;36,6;28,5;29,3
123,367;47,3;45;24,2;24,1;121;37;36,7;28,5;29,3
124,367;47,7;44,9;24,2;24,1;122;37;36,6;28,6;29,3
125,367;47,7;44,8;24,2;24;123;37,1;36,7;28,6;29,3
126,367;47,7;44,7;24,2;24,1;124;37,1;36,6;28,6;29,3
127,367;47,6;44,6;24,2;24;125;37,1;36,6;28,6;29,3
128,367;47,7;44,5;24,2;24;126;37,2;36,6;28,6;29,2
129,367;47,7;44,4;24,2;24;127;37,2;36,6;28,6;29,2
130,4;47,6;44,3;24,2;24;128;37,2;36,6;28,6;29,3
131,4;47,6;44,2;24,2;24;129;37,1;36,6;28,6;29,2
132,4;47,3;44,1;24,2;24;130;37,2;36,5;28,6;29,3
133,4;47,2;44,1;24,2;24;131;37,2;36,5;28,6;29,2
134,4;47,1;44;24,2;24;132;37,3;36,5;28,6;29,2
135,4;46,8;44;24,2;24;133;37,2;36,5;28,6;29,2
136,4;46,7;43,9;24,3;24;134;37,2;36,6;28,7;29,2
137,4;47,1;43,7;24,3;24;135;37,2;36,5;28,7;29,2
138,4;47,4;43,6;24,3;24;136;37,2;36,5;28,7;29,2
139,4;47,4;43,5;24,3;23,9;137;37,3;36,5;28,6;29,3
140,4;47,6;43,6;24,2;24,1;138;37,3;36,4;28,7;29,2
141,4;47,6;43,5;24,3;24;139;37,3;36,5;28,6;29,2
142,4;47,7;43,5;24,3;24;140;37,4;36,6;28,7;29,2
143,4;47,8;43,4;24,3;24;141;37,4;36,5;28,7;29,2
144,4;47,8;43,2;24,3;24;142;37,4;36,5;28,7;29,2
145,4;47,9;43,3;24,2;24;143;37,4;36,5;28,7;29,2
146,4;47,5;43,5;24,3;24,1;144;37,5;36,5;28,7;29,2
147,4;47,3;43,6;24,4;24,1;145;37,4;36,5;28,7;29,2
148,4;47,3;43,5;24,4;24,1;146;37,4;36,5;28,7;29,2
149,4;47,6;43,4;24,4;24,1;147;37,5;36,5;28,6;29,2
150,4;47,6;43,2;24,4;24,1;148;37,4;36,5;28,7;29,3
151,4;47,5;43;24,3;24,1;149;37,5;36,5;28,6;29,3
152,4;47,7;43;24,4;24;150;37,5;36,5;28,7;29,3
153,4;47,7;43,2;24,4;24;151;37,5;36,4;28,7;29,3
154,4;47,8;43,3;24,4;24;152;37,6;36,4;28,7;29,3
155,4;47,8;43,3;24,4;24;153;37,6;36,4;28,7;29,3
156,4;47,7;43,3;24,4;24,1;154;37,5;36,5;28,7;29,3
157,4;48,1;43,3;24,5;24,1;155;37,5;36,4;28,7;29,3
158,4;48,3;43,3;24,4;24,1;156;37,6;36,4;28,7;29,4
159,4;48,3;43,4;24,4;24,1;157;37,6;36,4;28,7;29,4
160,4;48,5;43,4;24,4;24,1;158;37,7;36,4;28,7;29,3
161,4;48,3;43,4;24,4;24,2;159;37,7;36,4;28,8;29,3
162,4;48,2;43,6;24,5;24,1;160;37,7;36,3;28,7;29,3
163,4;48,4;43,6;24,5;24,1;161;37,7;36,3;28,7;29,3
164,4;48,5;43,7;24,5;24,1;162;37,9;36,2;28,8;29,4
165,4;48,3;43,7;24,5;24,1;163;37,8;36,4;28,8;29,4
166,4;48,3;43,8;24,5;24,1;164;37,8;36,3;28,8;29,4
167,4;48,4;43,8;24,5;24,1;165;37,9;36,3;28,8;29,4
168,4;48,5;43,8;24,6;24;166;37,8;36,3;28,7;29,3
169,4;48,8;43,9;24,5;24,1;167;37,8;36,3;28,8;29,4
170,4;49;43,9;24,6;24,1;168;37,9;36,3;28,8;29,3
171,4;49,1;44;24,6;24,1;169;37,9;36,4;28,8;29,3
172,4;48,7;44;24,6;24,1;170;37,9;36,3;28,8;29,4
173,4;48,8;43,9;24,6;24;171;37,9;36,3;28,8;29,3
174,4;48,7;44;24,6;24,1;172;38,1;36,2;28,8;29,3
175,4;48,2;44;24,6;24,1;173;38,3;36,1;28,8;29,3
176,4;48,6;44;24,6;24;174;38,3;36,1;28,7;29,3
177,4;48,8;44;24,6;24,1;175;38,2;36,1;28,7;29,4
178,4;48,9;44,3;24,6;24,1;176;38,2;36,3;28,8;29,3
179,4;49;44,3;24,6;24,1;177;38,5;36,3;28,7;29,3
180,4;49,1;44,4;24,6;24,1;178;38,2;36,3;28,7;29,3
181,4;49,1;44,3;24,6;24;179;38,2;36,4;28,7;29,3
182,4;49;44;24,6;24;180;38,3;36,3;28,8;29,4
183,4;49,2;44,1;24,6;24,1;181;38,2;36,3;28,7;29,3
184,4;48,8;44,5;24,7;24;182;38,4;36,1;28,7;29,4
185,4;48,7;44,8;24,7;24,1;183;38,6;36,2;28,8;29,4
186,4;48,5;44,9;24,7;24,1;184;38,3;36,2;28,7;29,4
187,4;48,4;44,9;24,7;24,1;185;38,3;36,3;28,7;29,4
188,4;47,8;44,8;24,7;24,1;186;38,2;36,3;28,7;29,4
189,4;47,6;44,7;24,7;24;187;38,2;36,3;28,8;29,4
190,4;47,2;44,4;24,7;24,1;188;38,2;36,4;28,8;29,4
191,4;47,2;44,4;24,8;24,1;189;38,3;36,2;28,8;29,4
192,4;47,1;44,6;24,8;24,1;190;38,2;36,3;28,8;29,4
193,4;47;44,7;24,8;24,1;191;38,4;36,2;28,8;29,4
194,4;46,8;44,7;24,8;24,1;192;38,3;36,2;28,8;29,4
195,4;46,8;44,7;24,9;24;193;38,2;36,3;28,8;29,4
196,4;46,6;44,8;24,9;24,1;194;38,3;36,2;28,8;29,4
197,4;46,9;44,8;25;24;195;38,3;36,3;28,8;29,4
198,4;46,7;44,9;25;24,1;196;38,3;36,2;28,8;29,4
199,4;46,3;45;25;24,1;197;38,3;36,3;28,8;29,5
200,4;46,2;45,2;25,2;24,1;198;38,3;36,3;28,9;29,4
201,4;46,3;45,3;25,2;24;199;38,3;36,3;28,9;29,4
202,4;46,4;45,3;25,4;24,1;200;38,3;36,2;28,8;29,4
203,4;46,3;45,3;25,4;24;201;38,3;36,3;28,9;29,5
204,4;46,1;45,3;25,6;24,1;202;38,4;36,2;28,9;29,4
205,4;46,2;45,2;25,9;24,1;203;38,4;36,3;28,9;29,5
206,4;46;45,2;26,1;24;204;38,4;36,3;29;29,5
207,4;46,2;45,2;26,8;24;205;38,4;36,2;29;29,5
208,4;46,3;45,3;27,6;23,9;206;38,4;36,2;29;29,4
209,4;46,2;45,4;30,2;24;207;38,4;36,2;29,1;29,5
210,4;46,1;45,5;35,6;24;208;38,5;36,2;29,3;29,6
211,4;45,9;45,6;38,3;24;209;38,6;36,3;29,4;29,6
212,4;46,2;45,7;39;24;210;38,8;36,7;31,1;29,8
213,4;46,2;45,7;39,6;24;211;39,3;36,8;32,3;30,1
214,4;46,2;45,8;40,1;24,1;212;39,7;37,2;33,6;30,5
215,4;46,3;45,8;40,3;24,1;213;39,8;37,5;35,3;30,7
216,4;46,2;45,9;40,5;24,1;214;40;37,8;35,9;30,8
217,4;46,2;46;40,6;24,1;215;40,5;37,5;36,4;31
218,4;46,3;45,8;40,7;24,1;216;40,6;37,7;37;31,1
219,4;46,3;45,8;40,7;24,1;217;40,7;37,8;37,7;31,2
220,4;45,9;45,6;40,8;24,1;218;40,8;37,9;38;31,3
221,4;45,9;45,8;40,8;24;219;40,9;38;38,5;31,4
222,4;46,1;45,9;40,8;24,1;220;40,9;38;38,7;31,4
223,4;46,1;45,9;40,7;24,1;221;41;38;38,8;31,5
224,4;46,1;45,9;40,7;24;222;41;38;39,1;31,5
225,433;46,2;46;40,7;24,1;223;41,1;38;39,3;31,5
226,433;46,2;46;40,7;24,1;224;41,1;38,1;39,4;31,6
227,433;46,1;46;40,6;24,1;225;41,1;38,1;39,5;31,6
228,433;46,1;45,9;40,6;24,1;226;41,2;38,1;39,4;31,6
229,433;46,1;45,8;40,6;24,1;227;41,2;38,1;39,4;31,6
230,433;46;46;40,5;24,2;228;41,3;38,2;39,4;31,7
231,433;45,9;46;40,5;24,2;229;41,4;38,2;39,4;31,7
232,433;45,3;46;40,4;24,1;230;41,3;38,3;39,4;31,7
233,433;45,3;46,1;40,4;24,2;231;41,3;38,2;39,3;31,7
234,433;45,3;46,1;40,4;24,2;232;41,4;38,2;39,3;31,7
235,433;45,5;46,2;40,5;24,2;233;41,4;38,2;39,2;31,8
236,433;45,6;46;40,5;24,2;234;41,4;38,2;39,2;31,8
237,433;45,5;46,1;40,5;24,1;235;41,4;38,3;39,2;31,7
238,433;45,2;46,1;40,4;24,2;236;41,4;38,3;39,2;31,7
239,433;45;46;40,5;24,1;237;41,4;38,3;39;31,8
242,7;45,6;45,6;40,6;24,1;238;41,4;38,2;39;31,8
243,7;45,7;45,5;40,6;24,2;239;41,3;38,3;38,9;31,8
244,7;45,8;45,3;40,5;24,2;240;41,4;38,3;38,8;31,8
245,7;45,8;45,3;40,5;24,1;241;41,4;38,3;38,8;31,9
246,7;45,7;45,2;40,5;24,1;242;41,4;38,3;38,7;31,9
247,7;45,5;45;40,4;24,1;243;41,4;38,4;38,7;31,8
248,7;45,5;45;40,4;24,1;244;41,5;38,3;38,7;31,9
249,7;45,5;44,9;40,2;24,2;245;41,4;38,4;38,6;31,8
250,7;45,2;44,7;40,1;24,1;246;41,5;38,3;38,6;31,8
251,7;45;44,6;40,1;24,1;247;41,4;38,4;38,6;31,9
252,7;44,7;44,5;40,1;24;248;41,4;38,3;38,6;31,8
253,7;44,5;44,4;40,3;24;249;41,5;38,4;38,6;31,9
254,7;44,1;44,1;40,4;24;250;41,4;38,4;38,6;31,8
255,7;42,7;44,3;40,5;24;251;41,5;38,4;38,5;31,8
256,7;43,8;44,3;40,6;24;252;41,6;38,4;38,3;31,9
257,7;44,7;44,3;40,6;24;253;41,5;38,4;38,4;31,9
258,7;44,9;44,3;40,7;24;254;41,5;38,4;38,2;31,9
259,7;44,8;44,2;40,7;24;255;41,6;38,5;38,2;31,9
260,7;44,8;44,2;40,8;24;256;41,6;38,5;38,2;31,9
261,7;44,9;44,1;40,9;24,1;257;41,5;38,4;38,2;31,9
262,7;44,8;43,9;40,9;24;258;41,5;38,5;38,2;31,9
263,7;44,4;44;41;24;259;41,6;38,5;38,2;31,9
264,7;44,3;43,7;41;24,1;260;41,5;38,4;38,1;31,9
265,7;44,2;43,8;41,1;24,1;261;41,5;38,5;38,2;31,9
266,7;44,5;43,8;41;24;262;41,6;38,5;38,3;31,8
267,7;44,6;43,8;41;24,1;263;41,5;38,4;38,2;31,8
268,7;44,8;43,6;40,9;24;264;41,3;38,7;38,1;31,9
269,7;44,7;43,5;40,9;24;265;41,3;38,8;38,1;31,9
270,7;44,4;43,4;40,9;24,1;266;41,4;38,6;37,9;31,9
271,7;44,4;43,3;40,9;24;267;41,4;38,5;38,1;31,9
272,7;44,2;43,6;41,1;24,1;268;41,3;39;37,8;31,9
273,7;44,4;43,4;41,1;24,1;269;41,4;38,7;37,9;31,9
274,7;44,1;43,6;41,3;24;270;41,4;38,6;38;31,9
275,7;44,3;43,3;41,4;24,1;271;41,3;38,5;38;31,9
276,7;44,4;43;41,5;24,1;272;41,3;38,7;37,8;31,9
277,7;44,3;43;41,6;24;273;41,4;38,7;37,8;31,9
278,7;43,8;43,2;41,7;24,1;274;41,3;38,9;37,7;31,9
279,7;44,2;43,3;41,7;24,1;275;41,3;38,9;37,6;31,9
280,7;44,3;43,1;41,7;24;276;41,3;38,8;37,8;31,9
281,7;44,4;43,2;41,7;24,1;277;41,4;38,7;37,8;31,9
282,7;44,4;43,1;41,6;24;278;41,3;38,9;37,6;31,9
283,7;44,4;43,1;41,7;24,1;279;41,2;39,1;37,6;31,9
284,7;44,2;42,8;41,7;24;280;41,3;38,9;37,6;31,9
285,7;44;42,8;41,8;23,9;281;41,2;38,9;37,6;32
286,7;44,1;43;41,8;24;282;41,3;38,7;37,6;31,9
287,7;44,2;43,2;41,8;24;283;41,4;38,6;37,8;31,9
288,7;44;43,4;42;24,1;284;41,4;38,7;37,8;31,9
289,7;44,1;43,3;42;24,1;285;41,3;38,7;37,7;31,9
290,7;44,2;43,2;42;24;286;41,3;38,7;37,7;31,9
291,7;44,1;43,2;42;24;287;41,2;38,8;37,6;31,9
292,7;43,9;43,2;42;24,1;288;41,3;38,7;37,6;32
293,7;43,9;43;42;24;289;41,3;38,8;37,5;31,9
294,7;43,4;43;42;23,9;290;41,3;38,7;37,7;31,9
295,7;43,1;42,9;42,1;23,9;291;41,2;38,8;37,6;31,9
296,7;43,2;42,9;42,1;23,9;292;41,2;38,7;37,5;31,9
297,7;43,1;42,9;42,2;23,9;293;41,3;38,9;37,3;31,9
298,7;43,1;42,8;42,2;23,9;294;41,4;38,7;37,2;32,1
299,7;43,1;42,9;42,2;23,9;295;41,6;38,7;36,9;32,3
300,7;43;42,9;42,2;23,9;296;41,5;38,7;37,1;32,1
301,7;42,7;42,9;42,2;23,9;297;41,5;38,7;37,2;32,1
302,7;42,7;43;42,2;24;298;41,5;38,6;37,2;32,1
303,7;42,4;43,1;42,3;23,9;299;41,6;38,6;37,2;32,1
304,7;42,4;43,1;42,3;23,9;300;41,5;38,6;37,2;32,1
305,7;42,4;43;42,3;23,9;301;41,5;38,8;36,7;32,1
306,7;42,2;43,1;42,3;23,9;302;41,6;38,9;36,3;32,2
307,7;42,5;43;42,3;23,9;303;41,6;39;36,4;32,2
308,7;42,3;42,8;42,3;23,9;304;41,7;38,9;36,2;32,5
309,7;42,5;42,8;42,3;23,9;305;41,6;38,9;36,5;32,3
310,7;42,8;43;42,3;23,9;306;41,7;39,3;36,2;32,3
311,7;42,9;42,9;42,3;23,9;307;41,6;38,8;36,5;32,2
312,7;42,8;42,8;42,3;24;308;41,5;38,7;36,9;32,2
313,7;42,8;42,8;42,3;24;309;41,5;38,8;36,8;32,2
314,7;42,7;42,7;42,3;23,9;310;41,5;38,8;36,8;32,3
315,7;42,7;42,6;42,3;24,1;311;41,5;39;36,4;32,2
316,7;42,5;42,8;42,4;23,9;312;41,5;39,1;36,6;32,3
317,7;42,6;42,7;42,4;24;313;41,4;39,2;36,7;32,1
318,7;42,7;42,7;42,5;24;314;41,5;38,7;37;32,1
319,7;42,6;42,6;42,5;24;315;41,4;38,7;37,1;32,1
320,7;42,5;42,6;42,6;24;316;41,5;39,1;36,7;32,1
321,7;42,4;42,6;42,6;24;317;41,4;38,6;37;32,1
322,7;42,6;42,7;42,7;24,2;318;41,4;38,6;37;32,1
323,7;42,4;42,6;42,7;24,3;319;41,4;38,6;37,1;32,1
324,7;42,1;42,3;42,7;24,1;320;41,5;38,6;37,1;32,1
325,7;42,2;42,4;42,7;24,1;321;41,3;38,6;37,2;32
326,7;42,3;42,3;42,7;24,1;322;41,4;38,6;37,2;32
327,7;42,2;42,5;42,7;24,1;323;41,4;38,6;37,3;32
328,7;42,1;42,3;42,7;23,9;324;41,4;38,6;37,2;32
329,7;42,2;42,1;42,6;24;325;41,4;38,6;37,2;32
330,7;42,1;42;42,7;24;326;41,3;38,6;36,8;32
331,7;42,1;42,1;42,8;24;327;41,3;38,8;37;32
332,7;42,1;42;42,8;24;328;41,3;38,8;37;32,1
333,7;42;42,1;42,9;24,1;329;41,3;38,7;37,1;32,1
334,7;41,9;42,1;42,8;24;330;41,3;38,6;37;32
335,7;42;42,1;42,8;24;331;41,3;38,6;37,1;32,1
336,7;41,8;42,1;42,8;24,1;332;41,3;38,5;37,1;32
337,7;41,8;42;42,9;24;333;41,2;38,6;37,2;32
338,7;41,7;42;42,9;24;334;41,2;38,5;37,2;32
339,7;41,7;41,8;42,9;24;335;41,2;38,5;37,3;32
340,7;41,9;41,8;43;24;336;41,2;38,5;37,4;32
341,7;41,6;41,7;42,9;24;337;41,2;38,5;37,4;32
342,7;41,8;41,7;43;24;338;41,3;38,5;37,4;32
343,7;41,7;41,7;43;24;339;41,2;38,5;37,4;32
344,7;41,8;41,8;42,9;24;340;41,2;38,5;37,5;31,9
345,7;41,7;41,8;42,9;23,9;341;41,2;38,5;37,4;31,9
346,7;41,6;41,6;43;24;342;41,2;38,5;37,5;31,9
347,7;41,5;41,8;43;24,1;343;41,2;38,5;37,4;31,9
348,7;41,3;41,8;42,9;24,1;344;41,2;38,5;37,4;31,9
349,7;41,4;41,9;42,9;24,1;345;41,1;38,5;37,5;31,9
350,7;41,3;41,6;42,9;24;346;41,1;38,5;37,6;31,8
351,7;41;41,7;43;24;347;41,1;38,4;37,6;31,8
352,7;41;41,7;43;24;348;41,1;38,4;37,6;31,8
353,7;41,2;41,5;43;24;349;41,1;38,5;37,6;31,9
354,7;41,2;41,5;42,9;24,1;350;41,1;38,4;37,6;31,9
355,7;41,4;41,6;42,9;24;351;41;38,4;37,7;31,9
356,7;41,3;41,6;43;24;352;41,1;38,4;37,7;31,8
357,7;41,2;41,5;43;24,1;353;41;38,4;37,7;31,8
358,7;41,2;41,6;42,9;24;354;41;38,4;37,7;31,9
359,7;41,2;41,6;42,9;24;355;41;38,4;37,7;31,8
360,7;41,2;41,7;42,9;24;356;41,1;38,4;37,7;31,9
361,7;41,4;41,8;42,9;24;357;41;38,4;37,7;31,9
362,7;41,4;41,8;42,9;24;358;41,1;38,4;37,7;31,9
363,7;41,1;41,9;42,9;24;359;41,1;38,4;37,6;31,9
364,7;41;41,7;42,9;24;360;41;38,4;37,6;31,9
365,7;41,1;41,7;42,9;23,9;361;41,1;38,4;37,6;31,9
366,7;41,1;41,7;42,8;24;362;41;38,5;37,7;31,9
367,7;41;41,7;42,8;24;363;41;38,5;37,7;31,9
368,7;41,2;41,6;42,8;24;364;41;38,4;37,7;31,9
369,7;41;41,5;42,8;24;365;41;38,4;37,8;31,9
370,7;40,7;41,6;42,8;24;366;41;38,4;37,8;31,8
371,7;40,8;41,6;42,8;24;367;41;38,4;37,8;31,8
372,7;40,8;41,7;42,8;24,1;368;40,9;38,4;37,8;31,8
373,7;40,9;41,7;42,8;24;369;41;38,4;37,8;31,9
374,7;40,9;41,7;42,5;24;370;41;38,4;37,8;31,8
375,7;40,8;41,6;42,7;24;371;41;38,4;37,7;31,9
376,7;40,9;41,5;42,7;24;372;41;38,4;37,7;31,9
377,7;40,9;41,6;42,6;24,1;373;41;38,4;37,7;31,9
378,7;40,9;41,6;42,7;24;374;41;38,4;37,8;31,8
379,7;40,9;41,6;42,7;24;375;41;38,4;37,7;31,8
380,7;47,5;52,5;47,1;45,4;376;40,9;38,4;37,7;31,8
381,966;40,9;41,6;42,7;24,1;377;40,9;38,4;37,8;31,8
382,966;41;41,6;42,7;24,1;378;41;38,4;37,8;31,9
383,966;41;41,6;42,7;24,1;379;40,9;38,4;37,8;31,8
384,966;40,8;41,5;42,6;24,1;380;41;38,4;37,8;31,8
385,966;40,8;41,4;42,6;24,1;381;40,9;38,4;37,9;31,9
386,966;40,4;41,4;42,7;24,1;382;40,9;38,4;37,8;31,8
387,966;40,7;41,4;42,6;24,1;383;41;38,4;37,8;31,8
388,966;40,6;41,3;42,6;24,1;384;41;38,4;37,8;31,8
389,966;40,6;41,3;42,6;24,1;385;41;38,4;37,8;31,8
390,966;40,5;41,3;42,6;24,1;386;41;38,4;37,8;31,8
391,966;40,6;41,3;42,6;24,1;387;40,9;38,4;37,9;31,8
