Omega RDXL6SD Serial No. 002006 - Logged Data
Date:,03-10-16
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,
,,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,
13:08:43,73,  22.4,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.2,
13:08:44,74,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:08:45,75,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:46,76,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.5,  25.3,
13:08:47,77,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.2,
13:08:48,78,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:08:49,79,  22.5,  22.5,  22.4,  22.7, 850.0, 850.0,  24.0,  24.2,  24.5,  25.2,
13:08:50,80,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.3,
13:08:51,81,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.3,  24.6,  25.3,
13:08:52,82,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:08:53,83,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:08:54,84,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:08:55,85,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:08:56,86,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:08:57,87,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:08:58,88,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:08:59,89,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:00,90,  22.5,  22.5,  22.4,  22.7, 850.0, 850.0,  24.1,  24.2,  24.5,  25.3,
13:09:01,91,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:02,92,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.3,
13:09:03,93,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.3,
13:09:04,94,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.5,  25.3,
