FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
81;23299;0,059959655;0,010343792;0,0086699;0,015665908;0,070088845;0,208420962;0,41478175;0,212069188;0
82;23625;0,06162963;0,010666667;0,008084656;0,014941799;0,070899471;0,206349206;0,412486772;0,214941799;0
83;23923;0,061948752;0,010157589;0,008109351;0,01559169;0,068553275;0,203486185;0,422647661;0,209505497;0
84;24159;0,060474357;0,010430895;0,008733805;0,015066849;0,070532721;0,20443727;0,423775819;0,206548284;0
85;24406;0,059698435;0,010284356;0,007580103;0,015856757;0,071252971;0,207899697;0,425305253;0,202122429;0
86;24663;0,058508697;0,010582654;0,007784941;0,015853708;0,07124032;0,20897701;0,429753071;0,197299599;0
87;24927;0,05853091;0,01039034;0,008264131;0,015244514;0,07172945;0,207124804;0,440405985;0,188309865;0
88;25224;0,059229305;0,010823026;0,007611798;0,016294006;0,070528069;0,208571202;0,451633365;0,175309229;0
89;25528;0,061187715;0,009949859;0,008226261;0,016099969;0,070432466;0,206753369;0,459338765;0,168011595;0
90;25709;0,058734295;0,010268777;0,007390408;0,017581392;0,069858804;0,208059434;0,492473453;0,135633436;0
91;25912;0,055958629;0,010535659;0,007371102;0,017983946;0,070044767;0,215382834;0,504090769;0,118632294;0
92;26146;0,055190086;0,009140978;0,00864377;0,018128968;0,070833015;0,212881512;0,538552742;0,08662893;0
93;26364;0,052419967;0,010241238;0,007472311;0,019420422;0,073016234;0,21438325;0,554999241;0,068047337;0
94;26675;0,054170572;0,009634489;0,008359888;0,017844424;0,072952202;0,209484536;0,562661668;0,064892221;0
95;27010;0,057275083;0,008811551;0,008404295;0,017104776;0,073084043;0,210588671;0,562458349;0,062273232;0
96;27223;0,05473313;0,010248687;0,007567131;0,017705617;0,071814275;0,219814128;0,572457113;0,04565992;0
97;27526;0,05616508;0,009518274;0,008791688;0,017292741;0,07200465;0,219719538;0,56433917;0,052168859;0
